t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
75.01,0.9599,100793,0,105000,0.9599,0.0000,0.9771,152655,1,156229,0.9771,0.0000
75.51,0.9599,100793,0,105000,0.9599,0.0000,0.9771,152655,1,156229,0.9771,0.0000
76.01,0.9600,84415,0,105000,0.8040,0.0000,0.9773,152685,1,156229,0.9773,0.0000
76.51,0.9600,92607,0,105000,0.8820,0.0000,0.9773,152685,1,156229,0.9773,0.0000
77.01,0.9600,100799,0,105000,0.9600,0.0000,0.9773,152685,1,156229,0.9773,0.0000
77.51,0.9600,100799,0,105000,0.9600,0.0000,0.9773,152685,1,156229,0.9773,0.0000
78.01,0.9600,100799,0,105000,0.9600,0.0000,0.9773,152685,1,156229,0.9773,0.0000
78.51,0.9600,100799,0,105000,0.9600,0.0000,0.9773,152685,1,156229,0.9773,0.0000
79.02,0.9600,100799,0,105000,0.9600,0.0000,0.9773,152685,1,156229,0.9773,0.0000
79.52,0.9602,84433,0,105000,0.8041,0.0000,0.9773,152685,1,156229,0.9773,0.0000
80.02,0.9602,92625,0,105000,0.8821,0.0000,0.9773,152685,1,156229,0.9773,0.0000
80.52,0.9602,92625,0,105000,0.8821,0.0000,0.9773,152685,1,156229,0.9773,0.0000
81.02,0.9602,100817,0,105000,0.9602,0.0000,0.9773,152685,1,156229,0.9773,0.0000
81.52,0.9602,100817,0,105000,0.9602,0.0000,0.9773,152685,1,156229,0.9773,0.0000
82.02,0.9602,100817,0,105000,0.9602,0.0000,0.9773,152685,1,156229,0.9773,0.0000
82.52,0.9602,100817,0,105000,0.9602,0.0000,0.9773,152685,1,156229,0.9773,0.0000
83.02,0.9607,84489,0,105000,0.8047,0.0000,0.9779,152784,1,156229,0.9779,0.0000
83.52,0.9607,92681,0,105000,0.8827,0.0000,0.9779,152784,1,156229,0.9779,0.0000
84.02,0.9607,92681,0,105000,0.8827,0.0000,0.9779,152784,1,156229,0.9779,0.0000
84.52,0.9607,100873,0,105000,0.9607,0.0000,0.9779,152784,1,156229,0.9779,0.0000
85.02,0.9607,100873,0,105000,0.9607,0.0000,0.9779,152784,1,156229,0.9779,0.0000
85.52,0.9607,100873,0,105000,0.9607,0.0000,0.9779,152784,1,156229,0.9779,0.0000
86.02,0.9607,100873,0,105000,0.9607,0.0000,0.9779,152784,1,156229,0.9779,0.0000
86.52,0.9612,84542,0,105000,0.8052,0.0000,0.9779,152784,1,156229,0.9779,0.0000
87.02,0.9612,84542,0,105000,0.8052,0.0000,0.9779,152784,1,156229,0.9779,0.0000
87.52,0.9612,92734,0,105000,0.8832,0.0000,0.9779,152784,1,156229,0.9779,0.0000
88.02,0.9612,100926,0,105000,0.9612,0.0000,0.9779,152784,1,156229,0.9779,0.0000
88.52,0.9612,100926,0,105000,0.9612,0.0000,0.9779,152784,1,156229,0.9779,0.0000
