t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:cache_occupancy
48.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
49.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
49.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
50.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
50.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
51.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
51.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
52.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
52.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
53.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
53.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
54.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
54.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
55.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
55.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
56.01,0.9584,92436,0,105000,0.8803,0.0000,0.7536,152226,1,202000,0.7536,0.0000
56.51,0.9584,75281,0,105000,0.7170,0.0000,0.7536,152226,1,202000,0.7536,0.0000
57.01,0.9584,75281,0,105000,0.7170,0.0000,0.7536,152226,1,202000,0.7536,0.0000
57.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
58.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
58.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
59.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
59.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
60.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
60.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
61.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
61.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
62.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
62.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
63.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
63.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
64.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
64.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
65.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
65.51,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
66.01,0.9581,84213,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
66.51,0.9581,92405,0,105000,0.8800,0.0000,0.7536,152226,1,202000,0.7536,0.0000
67.01,0.9581,92405,0,105000,0.8800,0.0000,0.7536,152226,1,202000,0.7536,0.0000
67.51,0.9581,100597,0,105000,0.9581,0.0000,0.7536,152226,1,202000,0.7536,0.0000
68.01,0.9652,76023,0,105000,0.7240,0.0050,0.7536,152226,1,202000,0.7536,0.0000
68.51,0.9581,84215,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
69.01,0.9581,84215,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
69.51,0.9581,84215,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
70.01,0.9581,84215,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
70.51,0.9581,84215,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
71.01,0.9581,84215,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
71.51,0.9581,84215,0,105000,0.8020,0.0000,0.7536,152226,1,202000,0.7536,0.0000
