elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
40.1,75552.0,31864.0,43688.0,20185.9,16797.3,6216.5,5337.2,0.0,120103.2,0.0,10245.4,135395.8,557667.5,693063.3,467692.2,1031900.8,140289.1,42
41.1,75552.0,31864.0,43688.0,20181.9,16793.3,6212.5,5333.2,0.0,120103.2,0.0,10245.1,135395.8,557660.9,693056.6,467698.8,1031900.8,140285.2,42
42.1,75552.0,31864.0,43688.0,20194.5,16805.9,6225.1,5345.7,0.0,120103.2,0.0,10245.4,135395.7,557663.7,693059.4,467696.0,1031900.8,140297.7,42
43.1,75552.0,31864.0,43688.0,20182.5,16793.9,6213.1,5333.8,0.0,120103.2,0.0,10246.3,135395.8,557653.8,693049.6,467705.9,1031900.8,140285.7,42
44.1,75552.0,31864.0,43688.0,20172.5,16783.9,6203.1,5323.8,0.0,120103.2,0.0,10246.3,135395.7,557657.6,693053.3,467702.1,1031900.8,140275.8,42
45.1,75552.0,31864.0,43688.0,20170.5,16781.9,6201.1,5321.8,0.0,120103.2,0.0,10246.6,135395.7,557652.8,693048.5,467706.9,1031900.8,140273.8,42
46.1,75552.0,31864.0,43688.0,20168.5,16779.9,6199.1,5319.8,0.0,120103.2,0.0,10246.4,135395.8,557660.5,693056.3,467699.2,1031900.8,140271.8,42
47.1,75552.0,31864.0,43688.0,20168.5,16779.9,6199.1,5319.8,0.0,120103.3,0.0,10246.4,135395.8,557651.9,693047.8,467707.8,1031900.8,140271.8,42
48.1,75552.0,31864.0,43688.0,20136.5,16747.9,6167.1,5287.8,0.0,120103.3,0.0,10246.8,135395.8,557651.7,693047.6,467708.0,1031900.8,140239.8,42
49.1,75552.0,31864.0,43688.0,20156.7,16768.0,6187.3,5307.9,0.0,120103.3,0.0,10246.5,135396.2,557652.6,693048.8,467707.1,1031900.8,140259.9,42
50.1,75552.0,31864.0,43688.0,20156.7,16768.1,6187.3,5307.9,0.0,120103.3,0.0,10246.6,135395.8,557655.1,693050.9,467704.6,1031900.8,140260.0,42
51.1,75552.0,31864.0,43688.0,20156.7,16768.1,6187.3,5307.9,0.0,120103.3,0.0,10246.6,135395.8,557661.3,693057.1,467698.4,1031900.8,140260.0,42
52.1,75552.0,31864.0,43688.0,20157.8,16769.2,6188.4,5309.1,0.0,120103.3,0.0,10247.7,135395.8,557650.8,693046.6,467708.9,1031900.8,140261.1,42
53.1,75552.0,31864.0,43688.0,20157.8,16769.2,6188.4,5309.1,0.0,120103.3,0.0,10247.7,135395.7,557651.8,693047.5,467708.0,1031900.8,140261.1,42
54.1,75552.0,31864.0,43688.0,20157.8,16769.2,6188.4,5309.1,0.0,120103.3,0.0,10247.7,135395.7,557652.8,693048.6,467706.9,1031900.8,140261.1,42
55.1,75552.0,31864.0,43688.0,20157.9,16769.2,6188.4,5309.1,0.0,120103.3,0.0,10247.7,135395.9,557650.1,693045.9,467709.7,1031900.8,140261.1,42
56.1,75552.0,31864.0,43688.0,20155.9,16767.2,6186.4,5307.1,0.0,120103.3,0.0,10247.7,135395.7,557657.4,693053.1,467702.3,1031900.8,140259.1,42
57.1,75552.0,31864.0,43688.0,20143.9,16755.2,6174.4,5295.1,0.0,120103.3,0.0,10248.1,135395.7,557663.0,693058.7,467696.7,1031900.8,140247.1,42
58.1,75552.0,31864.0,43688.0,20160.3,16771.6,6190.8,5311.5,0.0,120103.3,0.0,10249.9,135395.8,557659.9,693055.7,467699.8,1031900.8,140263.6,42
59.1,75552.0,31864.0,43688.0,20126.3,16737.7,6156.9,5277.5,0.0,120103.3,0.0,10250.6,135395.9,557665.8,693061.7,467693.9,1031900.8,140229.6,42
60.1,75552.0,31864.0,43688.0,20132.3,16743.7,6162.9,5283.5,0.0,120103.3,0.0,10250.4,135395.8,557658.3,693054.1,467701.4,1031900.8,140235.6,42
61.1,75552.0,31864.0,43688.0,20144.6,16755.9,6175.1,5295.8,0.0,120103.3,0.0,10250.9,135396.1,557658.6,693054.7,467701.1,1031900.8,140247.9,42
62.1,75552.0,31864.0,43688.0,20120.6,16731.9,6151.1,5271.8,0.0,120103.3,0.0,10251.4,135395.8,557666.9,693062.8,467692.8,1031900.8,140223.9,42
63.1,75552.0,31864.0,43688.0,20118.6,16729.9,6149.1,5269.8,0.0,120103.3,0.0,10251.4,135395.8,557672.3,693068.1,467687.4,1031900.8,140221.9,42
