t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req,d_prealloc_usage
35.217,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
35.767,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
36.316,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
36.865,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
37.414,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
37.963,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
38.512,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
39.06,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
39.609,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
40.158,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
40.707,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
41.257,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
41.807,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
42.356,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
42.906,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
43.455,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
43.992,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
44.557,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
45.119,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
45.682,2525.0,0.03,0.385284423828125,,,85172.0,3748.0,0.044005072089419055,0.5718994140625,1.0,0.0,85172.0,0.0,0.0,0.0
46.245,2525.0,0.03,0.385284423828125,,,85172.0,3748.0,0.044005072089419055,0.5718994140625,1.0,0.0,85172.0,0.0,0.0,0.0
46.808,2525.0,0.03,0.385284423828125,,,85172.0,3748.0,0.044005072089419055,0.5718994140625,1.0,0.0,85172.0,0.0,0.0,0.0
47.371,2525.0,0.03,0.385284423828125,,,85172.0,3788.0,0.044474709998591086,0.5780029296875,1.0,0.0,85172.0,0.0,0.0,0.0
47.933,2525.0,0.03,0.385284423828125,,,85172.0,3788.0,0.044474709998591086,0.5780029296875,1.0,0.0,85172.0,0.0,0.0,0.0
48.497,2525.0,0.03,0.385284423828125,,,85172.0,3788.0,0.044474709998591086,0.5780029296875,1.0,0.0,85172.0,0.0,0.0,0.0
49.059,2525.0,0.03,0.385284423828125,,,85172.0,3828.0,0.04494434790776312,0.5841064453125,1.0,0.0,85172.0,0.0,0.0,0.0
49.623,2525.0,0.03,0.385284423828125,,,85172.0,3828.0,0.04494434790776312,0.5841064453125,1.0,0.0,85172.0,0.0,0.0,0.0
50.175,2525.0,0.03,0.385284423828125,,,85172.0,3828.0,0.04494434790776312,0.5841064453125,1.0,0.0,85172.0,0.0,0.0,0.0
50.738,2525.0,0.03,0.385284423828125,,,85172.0,3868.0,0.04541398581693514,0.5902099609375,1.0,0.0,85172.0,0.0,0.0,0.0
51.301,2525.0,0.03,0.385284423828125,,,85172.0,3868.0,0.04541398581693514,0.5902099609375,1.0,0.0,85172.0,0.0,0.0,0.0
51.865,2525.0,0.03,0.385284423828125,,,85172.0,3868.0,0.04541398581693514,0.5902099609375,1.0,0.0,85172.0,0.0,0.0,0.0
52.429,2525.0,0.03,0.385284423828125,,,85172.0,3908.0,0.04588362372610717,0.5963134765625,1.0,0.0,85172.0,0.0,0.0,0.0
52.992,2525.0,0.03,0.385284423828125,,,85172.0,3908.0,0.04588362372610717,0.5963134765625,1.0,0.0,85172.0,0.0,0.0,0.0
53.555,2525.0,0.03,0.385284423828125,,,85172.0,3908.0,0.04588362372610717,0.5963134765625,1.0,0.0,85172.0,0.0,0.0,0.0
54.118,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
54.682,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
55.245,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
55.77,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
56.294,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
56.819,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
57.342,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
57.866,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
58.39,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
58.914,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
59.437,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
59.963,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
60.492,2525.0,0.03,0.385284423828125,,,85172.0,3948.0,0.0463532616352792,0.6024169921875,1.0,0.0,85172.0,0.0,0.0,0.0
