t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req,d_prealloc_usage
25.23,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
25.779,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
26.327,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
26.875,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
27.423,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
27.971,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
28.519,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
29.067,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
29.61,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
30.158,1199.0,0.01,0.1463623046875,,,208929.0,2416.0,0.011563736963274606,0.294921875,2.0,0.0,208929.0,0.0,0.0,0.0
30.719,1199.0,0.01,0.1463623046875,,,208929.0,6318.0,0.030239937969358012,0.771240234375,1.0,0.0,208929.0,1.0,0.0,0.0
31.281,1199.0,0.01,0.1463623046875,,,208929.0,6318.0,0.030239937969358012,0.771240234375,1.0,0.0,208929.0,1.0,0.0,0.0
31.833,1199.0,0.01,0.1463623046875,,,208929.0,16007.0,0.0766145436966625,1.9539794921875,2.0,0.0,208929.0,3.0,0.0,0.0
32.361,1199.0,0.01,0.1463623046875,,,208929.0,16007.0,0.0766145436966625,1.9539794921875,2.0,0.0,208929.0,3.0,0.0,0.0
32.922,1199.0,0.01,0.1463623046875,,,208929.0,12927.0,0.06187269359447468,1.5780029296875,4.0,0.0,208929.0,0.0,0.0,0.0
33.557,1199.0,0.01,0.1463623046875,,,208929.0,19587.0,0.09374955128297173,2.3909912109375,6.0,0.0,208929.0,0.0,0.0,0.0
34.136,1199.0,0.01,0.1463623046875,,,208929.0,19587.0,0.09374955128297173,2.3909912109375,6.0,0.0,208929.0,0.0,0.0,0.0
34.711,1199.0,0.01,0.1463623046875,,,208929.0,23109.0,0.11060695260112287,2.8209228515625,7.0,0.0,208929.0,0.0,0.0,0.0
35.268,1199.0,0.01,0.1463623046875,,,208929.0,23109.0,0.11060695260112287,2.8209228515625,7.0,0.0,208929.0,0.0,0.0,0.0
35.824,1199.0,0.01,0.1463623046875,,,208929.0,23389.0,0.11194712079223085,2.8551025390625,7.0,0.0,208929.0,0.0,0.0,0.0
36.381,1199.0,0.01,0.1463623046875,,,208929.0,23389.0,0.11194712079223085,2.8551025390625,7.0,0.0,208929.0,0.0,0.0,0.0
36.941,1199.0,0.01,0.1463623046875,,,208929.0,20269.0,0.09701381809131332,2.4742431640625,6.0,0.0,208929.0,0.0,0.0,0.0
37.496,1199.0,0.01,0.1463623046875,,,208929.0,20269.0,0.09701381809131332,2.4742431640625,6.0,0.0,208929.0,0.0,0.0,0.0
38.07,1199.0,0.01,0.1463623046875,,,208929.0,13668.0,0.06541935298594259,1.66845703125,4.0,0.0,208929.0,0.0,0.0,0.0
38.626,1199.0,0.01,0.1463623046875,,,208929.0,13668.0,0.06541935298594259,1.66845703125,4.0,0.0,208929.0,0.0,0.0,0.0
39.191,1199.0,0.01,0.1463623046875,,,208929.0,10333.0,0.049456992566852855,1.2613525390625,3.0,0.0,208929.0,0.0,0.0,0.0
39.744,1199.0,0.01,0.1463623046875,,,208929.0,10333.0,0.049456992566852855,1.2613525390625,3.0,0.0,208929.0,0.0,0.0,0.0
40.311,1199.0,0.01,0.1463623046875,,,208929.0,6974.0,0.033379760588525285,0.851318359375,2.0,0.0,208929.0,0.0,0.0,0.0
40.87,1199.0,0.01,0.1463623046875,,,208929.0,6974.0,0.033379760588525285,0.851318359375,2.0,0.0,208929.0,0.0,0.0,0.0
41.419,3261.0,0.02,0.3980712890625,,,208929.0,6974.0,0.033379760588525285,0.851318359375,2.0,0.0,208929.0,0.0,0.0,0.0
41.968,3261.0,0.02,0.3980712890625,,,208929.0,6974.0,0.033379760588525285,0.851318359375,2.0,0.0,208929.0,0.0,0.0,0.0
42.516,3261.0,0.02,0.3980712890625,,,208929.0,6974.0,0.033379760588525285,0.851318359375,2.0,0.0,208929.0,0.0,0.0,0.0
43.042,3261.0,0.02,0.3980712890625,,,208929.0,4044.0,0.019355857731573885,0.49365234375,1.0,0.0,208929.0,0.0,0.0,0.0
43.597,3261.0,0.02,0.3980712890625,,,208929.0,4044.0,0.019355857731573885,0.49365234375,1.0,0.0,208929.0,0.0,0.0,0.0
44.163,3261.0,0.02,0.3980712890625,,,208929.0,4084.0,0.019547310330303595,0.49853515625,1.0,0.0,208929.0,0.0,0.0,0.0
44.73,3261.0,0.02,0.3980712890625,,,208929.0,4124.0,0.01973876292903331,0.50341796875,1.0,0.0,208929.0,0.0,0.0,0.0
45.297,3261.0,0.02,0.3980712890625,,,208929.0,4124.0,0.01973876292903331,0.50341796875,1.0,0.0,208929.0,0.0,0.0,0.0
45.864,3261.0,0.02,0.3980712890625,,,208929.0,0.0,0.0,0.0,1.0,0.0,208929.0,0.0,0.0,0.0
46.412,3261.0,0.02,0.3980712890625,,,208929.0,0.0,0.0,0.0,1.0,0.0,208929.0,0.0,0.0,0.0
46.961,3261.0,0.02,0.3980712890625,,,208929.0,0.0,0.0,0.0,1.0,0.0,208929.0,0.0,0.0,0.0
47.533,3261.0,0.02,0.3980712890625,,,208929.0,0.0,0.0,0.0,1.0,0.0,208929.0,0.0,0.0,0.0
48.104,3261.0,0.02,0.3980712890625,,,208929.0,0.0,0.0,0.0,1.0,0.0,208929.0,0.0,0.0,0.0
48.638,3261.0,0.02,0.3980712890625,,,208929.0,12703.0,0.06080055904158829,1.5506591796875,2.0,0.0,208929.0,1.0,0.0,0.0
49.194,3261.0,0.02,0.3980712890625,,,208929.0,12703.0,0.06080055904158829,1.5506591796875,2.0,0.0,208929.0,1.0,0.0,0.0
49.773,3261.0,0.02,0.3980712890625,,,208929.0,21369.0,0.1022787645563804,2.6085205078125,4.0,0.0,208929.0,1.0,0.0,0.0
50.327,3261.0,0.02,0.3980712890625,,,208929.0,25874.0,0.12384111348831421,3.158447265625,5.0,0.0,208929.0,1.0,0.0,0.0
50.961,3261.0,0.02,0.3980712890625,,,208929.0,25874.0,0.12384111348831421,3.158447265625,5.0,0.0,208929.0,1.0,0.0,0.0
51.539,3261.0,0.02,0.3980712890625,,,208929.0,30440.0,0.14569542763331084,3.7158203125,7.0,0.0,208929.0,0.0,0.0,0.0
52.099,3261.0,0.02,0.3980712890625,,,208929.0,30440.0,0.14569542763331084,3.7158203125,7.0,0.0,208929.0,0.0,0.0,0.0
52.654,3261.0,0.02,0.3980712890625,,,208929.0,30440.0,0.14569542763331084,3.7158203125,7.0,0.0,208929.0,0.0,0.0,0.0
53.21,3261.0,0.02,0.3980712890625,,,208929.0,30720.0,0.14703559582441883,3.75,7.0,0.0,208929.0,0.0,0.0,0.0
53.781,3261.0,0.02,0.3980712890625,,,208929.0,30720.0,0.14703559582441883,3.75,7.0,0.0,208929.0,0.0,0.0,0.0
54.334,3261.0,0.02,0.3980712890625,,,208929.0,22156.0,0.10604559443638747,2.70458984375,5.0,0.0,208929.0,0.0,0.0,0.0
54.885,3261.0,0.02,0.3980712890625,,,208929.0,17865.0,0.08550751690765762,2.1807861328125,4.0,0.0,208929.0,0.0,0.0,0.0
55.447,3261.0,0.02,0.3980712890625,,,208929.0,17865.0,0.08550751690765762,2.1807861328125,4.0,0.0,208929.0,0.0,0.0,0.0
56.009,3261.0,0.02,0.3980712890625,,,208929.0,23000.0,0.11008524426958441,2.8076171875,4.0,0.0,208929.0,1.0,0.0,0.0
56.561,3261.0,0.02,0.3980712890625,,,208929.0,23000.0,0.11008524426958441,2.8076171875,4.0,0.0,208929.0,1.0,0.0,0.0
57.117,3261.0,0.02,0.3980712890625,,,208929.0,14086.0,0.06742003264266809,1.719482421875,3.0,0.0,208929.0,0.0,0.0,0.0
57.69,3261.0,0.02,0.3980712890625,,,208929.0,14086.0,0.06742003264266809,1.719482421875,3.0,0.0,208929.0,0.0,0.0,0.0
58.264,3261.0,0.02,0.3980712890625,,,208929.0,9623.0,0.046058708939400464,1.1746826171875,2.0,0.0,208929.0,0.0,0.0,0.0
58.818,3261.0,0.02,0.3980712890625,,,208929.0,9623.0,0.046058708939400464,1.1746826171875,2.0,0.0,208929.0,0.0,0.0,0.0
59.389,3261.0,0.02,0.3980712890625,,,208929.0,5086.0,0.02434319792848288,0.620849609375,1.0,0.0,208929.0,0.0,0.0,0.0
59.96,3261.0,0.02,0.3980712890625,,,208929.0,5086.0,0.02434319792848288,0.620849609375,1.0,0.0,208929.0,0.0,0.0,0.0
