t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784788853.7,1651.4,82828,20923,20947,20479,20479,27397,94381
1784788854.8,1652.5,82828,20923,20947,20479,20479,27398,94381
1784788855.9,1653.6,82828,20923,20947,20479,20479,27401,94382
1784788856.9,1654.6,82828,20923,20947,20479,20479,27399,94458
1784788858.0,1655.7,82828,20923,20947,20479,20479,27351,94585
1784788859.1,1656.8,82828,20923,20947,20479,20479,27392,94585
1784788860.2,1657.9,82828,20923,20947,20479,20479,27352,94585
1784788861.2,1659.0,82828,20923,20947,20479,20479,27391,94585
1784788862.3,1660.0,82828,20923,20947,20479,20479,27354,94585
1784788863.4,1661.1,82828,20923,20947,20479,20479,27351,94680
1784788864.5,1662.2,82828,20923,20947,20479,20479,27391,94681
1784788865.5,1663.2,82828,20923,20947,20479,20479,27386,94486
1784788866.6,1664.3,82828,20923,20947,20479,20479,27383,94486
1784788867.7,1665.4,82828,20923,20947,20479,20479,27347,94486
1784788868.7,1666.4,82828,20923,20947,20479,20479,27385,94486
1784788869.8,1667.5,82828,20923,20947,20479,20479,27385,94486
1784788870.9,1668.6,82828,20923,20947,20479,20479,27386,94615
1784788872.0,1669.7,82828,20923,20947,20479,20479,27385,94616
1784788873.0,1670.7,82828,20923,20947,20479,20479,27348,94618
1784788874.1,1671.8,82828,20923,20947,20479,20479,27387,94619
1784788875.1,1672.8,82828,20923,20947,20479,20479,27387,94572
1784788876.2,1673.9,82828,20923,20947,20479,20479,27386,94573
1784788877.3,1675.0,82828,20923,20947,20479,20479,27350,94573
1784788878.4,1676.1,82828,20923,20947,20479,20479,27350,94573
1784788879.4,1677.1,82828,20923,20947,20479,20479,27392,94586
1784788880.5,1678.2,82828,20923,20947,20479,20479,27388,94586
1784788881.6,1679.3,82828,20923,20947,20479,20479,27387,94598
1784788882.7,1680.4,82828,20923,20947,20479,20479,27350,94599
1784788883.7,1681.4,82828,20923,20947,20479,20479,27395,94564
1784788884.8,1682.6,82828,20923,20947,20479,20479,27394,94480
1784788885.9,1683.7,82828,20923,20947,20479,20479,27394,94501
1784788887.0,1684.7,82828,20923,20947,20479,20479,27395,94501
1784788888.1,1685.8,82828,20923,20947,20479,20479,27360,94501
1784788889.2,1686.9,82828,20923,20947,20479,20479,27398,94600
1784788890.2,1687.9,82828,20923,20947,20479,20479,27398,94592
1784788891.3,1689.0,82828,20923,20947,20479,20479,27401,94601
1784788892.4,1690.1,82828,20923,20947,20479,20479,27363,94606
1784788893.4,1691.1,82828,20923,20947,20479,20479,27368,94609
1784788894.5,1692.2,82828,20923,20947,20479,20479,27399,94614
1784788895.6,1693.3,82828,20923,20947,20479,20479,27397,94617
1784788896.7,1694.5,82828,20923,20947,20479,20479,27397,94623
1784788897.8,1695.5,82828,20923,20947,20479,20479,27361,94625
1784788898.9,1696.6,82828,20923,20947,20479,20479,27403,94630
1784788900.0,1697.7,82828,20923,20947,20479,20479,27403,94636
1784788901.1,1698.8,82828,20923,20947,20479,20479,27395,94577
1784788902.1,1699.8,82828,20923,20947,20479,20479,27352,94654
1784788903.2,1700.9,82828,20923,20947,20479,20479,27351,94667
1784788904.3,1702.0,82828,20923,20947,20479,20479,27390,94669
1784788905.4,1703.1,82828,20923,20947,20479,20479,27391,94672
1784788906.5,1704.2,82828,20923,20947,20479,20479,27386,94627
1784788907.6,1705.3,82828,20923,20947,20479,20479,27342,94602
1784788908.7,1706.4,82828,20923,20947,20479,20479,27381,94612
1784788909.8,1707.5,82828,20923,20947,20479,20479,27384,94613
1784788910.8,1708.6,82828,20923,20947,20479,20479,27384,94620
1784788911.9,1709.6,82828,20923,20947,20479,20479,27387,94535
1784788913.0,1710.7,82828,20923,20947,20479,20479,27353,94535
1784788914.0,1711.8,82828,20923,20947,20479,20479,27392,94490
1784788915.1,1712.8,82828,20923,20947,20479,20479,27382,94604
1784788916.2,1713.9,82828,20923,20947,20479,20479,27387,94604
1784788917.3,1715.0,82828,20923,20947,20479,20479,27352,94604
1784788918.4,1716.1,82828,20923,20947,20479,20479,27352,94604
1784788919.5,1717.2,82828,20923,20947,20479,20479,27399,94604
1784788920.5,1718.2,82828,20923,20947,20479,20479,27397,94604
1784788921.6,1719.3,82828,20923,20947,20479,20479,27399,94604
1784788922.7,1720.4,82828,20923,20947,20479,20479,27363,94604
1784788923.8,1721.5,82828,20923,20947,20479,20479,27403,94604
1784788924.8,1722.5,82828,20923,20947,20479,20479,27368,94581
1784788925.9,1723.6,82828,20923,20947,20479,20479,27366,94676
1784788927.0,1724.7,82828,20923,20947,20479,20479,27356,94531
1784788928.1,1725.8,82828,20923,20947,20479,20479,27317,94531
1784788929.2,1726.9,82828,20923,20947,20479,20479,27357,94531
1784788930.2,1727.9,82828,20923,20947,20479,20479,27358,94531
1784788931.3,1729.0,82828,20923,20947,20479,20479,27359,94633
1784788932.4,1730.1,82828,20923,20947,20479,20479,27315,94660
1784788933.4,1731.1,82828,20923,20947,20479,20479,27319,94660
1784788934.5,1732.2,82828,20923,20947,20479,20479,27356,94662
1784788935.6,1733.3,82828,20923,20947,20479,20479,27355,94681
1784788936.7,1734.4,82828,20923,20947,20479,20479,27385,94686
1784788937.8,1735.5,82828,20923,20947,20479,20479,27337,94743
1784788938.8,1736.5,82828,20923,20947,20479,20479,27366,94649
1784788939.9,1737.6,82828,20923,20947,20479,20479,27366,94660
1784788941.0,1738.7,82828,20923,20947,20479,20479,27368,94676
1784788942.1,1739.8,82828,20923,20947,20479,20479,27368,94676
1784788943.2,1740.9,82828,20923,20947,20479,20479,27336,94638
1784788944.2,1741.9,82828,20923,20947,20479,20479,27379,94645
1784788945.3,1743.0,82828,20923,20947,20479,20479,27349,94651
1784788946.4,1744.1,82828,20923,20947,20479,20479,27384,94655
1784788947.5,1745.2,82828,20923,20947,20479,20479,27350,94658
1784788948.6,1746.3,82828,20923,20947,20479,20479,27395,94674
1784788949.6,1747.3,82828,20923,20947,20479,20479,27386,94621
1784788950.7,1748.4,82828,20923,20947,20479,20479,27377,94587
1784788951.8,1749.5,82828,20923,20947,20479,20479,27378,94588
1784788952.8,1750.5,82828,20923,20947,20479,20479,27336,94594
1784788953.9,1751.6,82828,20923,20947,20479,20479,27373,94596
1784788954.9,1752.6,82828,20923,20947,20479,20479,27377,94688
1784788956.0,1753.7,82828,20923,20947,20479,20479,27378,94691
1784788957.1,1754.8,82828,20923,20947,20479,20479,27378,94711
1784788958.1,1755.9,82828,20923,20947,20479,20479,27343,94726
1784788959.2,1756.9,82830,20925,20947,20479,20479,27386,94525
1784788960.3,1758.0,82830,20925,20947,20479,20479,27345,94543
1784788961.4,1759.1,82830,20925,20947,20479,20479,27382,94545
1784788962.5,1760.2,82830,20925,20947,20479,20479,27344,94550
1784788963.5,1761.2,82830,20925,20947,20479,20479,27364,94553
1784788964.6,1762.3,82830,20925,20947,20479,20479,27374,94554
1784788965.6,1763.3,82830,20925,20947,20479,20479,27376,94674
1784788966.7,1764.4,82830,20925,20947,20479,20479,27376,94586
1784788967.8,1765.5,82830,20925,20947,20479,20479,27342,94610
1784788968.9,1766.6,82830,20925,20947,20479,20479,27379,94611
1784788969.9,1767.6,82830,20925,20947,20479,20479,27378,94611
1784788971.0,1768.7,82830,20925,20947,20479,20479,27380,94611
1784788972.1,1769.8,82830,20925,20947,20479,20479,27390,94596
1784788973.2,1770.9,82830,20925,20947,20479,20479,27353,94611
1784788974.2,1771.9,82830,20925,20947,20479,20479,27390,94612
1784788975.3,1773.0,82830,20925,20947,20479,20479,27387,94613
1784788976.4,1774.1,82830,20925,20947,20479,20479,27386,94597
1784788977.4,1775.1,82830,20925,20947,20479,20479,27350,94598
1784788978.6,1776.3,82830,20925,20947,20479,20479,27390,94599
1784788979.6,1777.3,82830,20925,20947,20479,20479,27390,94601
1784788980.7,1778.4,82830,20925,20947,20479,20479,27386,94601
1784788981.8,1779.5,82830,20925,20947,20479,20479,27406,94458
1784788982.9,1780.6,82830,20925,20947,20479,20479,27366,94459
1784788984.0,1781.7,82830,20925,20947,20479,20479,27406,94460
1784788985.0,1782.7,82830,20925,20947,20479,20479,27407,94461
1784788986.1,1783.8,82830,20925,20947,20479,20479,27406,94600
1784788987.2,1784.9,82830,20925,20947,20479,20479,27407,94600
1784788988.3,1786.0,82830,20925,20947,20479,20479,27365,94605
1784788989.4,1787.1,82830,20925,20947,20479,20479,27405,94606
1784788990.4,1788.1,82830,20925,20947,20479,20479,27406,94608
1784788991.5,1789.2,82830,20925,20947,20479,20479,27406,94614
1784788992.6,1790.3,82830,20925,20947,20479,20479,27325,94677
1784788993.7,1791.4,82830,20925,20947,20479,20479,27366,94677
1784788994.8,1792.5,82830,20925,20947,20479,20479,27366,94677
1784788995.8,1793.5,82830,20925,20947,20479,20479,27362,94677
1784788996.9,1794.6,82830,20925,20947,20479,20479,27365,94600
1784788998.0,1795.7,82830,20925,20947,20479,20479,27333,94604
1784788999.1,1796.8,82830,20925,20947,20479,20479,27371,94605
1784789000.1,1797.8,82830,20925,20947,20479,20479,27372,94608
1784789001.2,1798.9,82830,20925,20947,20479,20479,27375,94620
1784789002.3,1800.0,82830,20925,20947,20479,20479,27370,94619
1784789003.4,1801.1,82830,20925,20947,20479,20479,27332,94621
1784789004.5,1802.2,82830,20925,20947,20479,20479,27370,94627
1784789005.6,1803.3,82830,20925,20947,20479,20479,27367,94629
1784789006.7,1804.4,82830,20925,20947,20479,20479,27367,94627
1784789007.8,1805.5,82830,20925,20947,20479,20479,27359,94541
1784789008.8,1806.5,82830,20925,20947,20479,20479,27399,94541
1784789009.9,1807.6,82830,20925,20947,20479,20479,27398,94541
1784789011.0,1808.7,82830,20925,20947,20479,20479,27402,94541
1784789012.0,1809.7,82830,20925,20947,20479,20479,27403,94574
1784789013.1,1810.8,82830,20925,20947,20479,20479,27370,94574
1784789014.2,1811.9,82830,20925,20947,20479,20479,27411,94574
1784789015.2,1812.9,82830,20925,20947,20479,20479,27410,94574
1784789016.3,1814.0,82830,20925,20947,20479,20479,27413,94574
1784789017.3,1815.0,82830,20925,20947,20479,20479,27383,94684
1784789018.4,1816.1,82830,20925,20947,20479,20479,27371,94685
1784789019.5,1817.2,82830,20925,20947,20479,20479,27408,94685
1784789020.6,1818.3,82830,20925,20947,20479,20479,27411,94686
1784789021.6,1819.3,82830,20925,20947,20479,20479,27410,94686
1784789022.7,1820.4,82830,20925,20947,20479,20479,27370,94687
1784789023.8,1821.5,82830,20925,20947,20479,20479,27401,94611
1784789024.8,1822.5,82830,20925,20947,20479,20479,27402,94611
1784789025.9,1823.6,82830,20925,20947,20479,20479,27403,94612
1784789026.9,1824.6,82830,20925,20947,20479,20479,27404,94620
1784789028.0,1825.7,82830,20925,20947,20479,20479,27357,94709
1784789029.1,1826.8,82830,20925,20947,20479,20479,27389,94609
1784789030.2,1827.9,82830,20925,20947,20479,20479,27390,94609
1784789031.3,1829.0,82830,20925,20947,20479,20479,27390,94609
1784789032.4,1830.1,82830,20925,20947,20479,20479,27390,94609
1784789033.4,1831.1,82830,20925,20947,20479,20479,27363,94724
1784789034.5,1832.2,82830,20925,20947,20479,20479,27395,94531
1784789035.6,1833.3,82830,20925,20947,20479,20479,27398,94453
1784789036.7,1834.4,82830,20925,20947,20479,20479,27401,94461
1784789037.8,1835.5,82830,20925,20947,20479,20479,27357,94462
1784789038.8,1836.5,82830,20925,20947,20479,20479,27393,94467
1784789039.9,1837.6,82830,20925,20947,20479,20479,27394,94470
1784789041.0,1838.7,82830,20925,20947,20479,20479,27397,94472
1784789042.0,1839.7,82830,20925,20947,20479,20479,27398,94476
1784789043.1,1840.8,82830,20925,20947,20479,20479,27365,94488
1784789044.2,1841.9,82830,20925,20947,20479,20479,27398,94561
1784789045.3,1843.0,82830,20925,20947,20479,20479,27396,94566
1784789046.4,1844.1,82830,20925,20947,20479,20479,27399,94572
1784789047.5,1845.2,82830,20925,20947,20479,20479,27364,94605
1784789048.5,1846.2,82830,20925,20947,20479,20479,27396,94593
1784789049.6,1847.3,82830,20925,20947,20479,20479,27396,94549
1784789050.7,1848.4,82830,20925,20947,20479,20479,27395,94549
1784789051.8,1849.5,82830,20925,20947,20479,20479,27395,94549
1784789052.9,1850.6,82830,20925,20947,20479,20479,27355,94549
1784789054.0,1851.7,82830,20925,20947,20479,20479,27394,94549
1784789055.0,1852.7,82830,20925,20947,20479,20479,27392,94549
1784789056.1,1853.8,82830,20925,20947,20479,20479,27395,94549
1784789057.2,1854.9,82830,20925,20947,20479,20479,27395,94673
1784789058.2,1855.9,82830,20925,20947,20479,20479,27358,94676
1784789059.3,1857.0,82830,20925,20947,20479,20479,27398,94550
1784789060.4,1858.1,82830,20925,20947,20479,20479,27389,94594
1784789061.5,1859.2,82830,20925,20947,20479,20479,27395,94606
1784789062.6,1860.3,82830,20925,20947,20479,20479,27358,94613
1784789063.6,1861.3,82830,20925,20947,20479,20479,27399,94615
1784789064.7,1862.4,82830,20925,20947,20479,20479,27432,94586
1784789065.8,1863.5,82830,20925,20947,20479,20479,27419,94585
1784789066.9,1864.6,82830,20925,20947,20479,20479,27419,94589
1784789068.0,1865.7,82830,20925,20947,20479,20479,27382,94599
1784789069.0,1866.7,82830,20925,20947,20479,20479,27420,94599
1784789070.1,1867.8,82830,20925,20947,20479,20479,27416,94591
1784789071.2,1868.9,82830,20925,20947,20479,20479,27419,94596
1784789072.2,1869.9,82830,20925,20947,20479,20479,27420,94596
1784789073.3,1871.0,82830,20925,20947,20479,20479,27384,94599
1784789074.4,1872.1,82830,20925,20947,20479,20479,27421,94599
1784789075.5,1873.2,82830,20925,20947,20479,20479,27382,94600
1784789076.5,1874.2,82830,20925,20947,20479,20479,27421,94600
1784789077.6,1875.3,82830,20925,20947,20479,20479,27386,94601
1784789078.7,1876.4,82830,20925,20947,20479,20479,27420,94660
1784789079.8,1877.5,82830,20925,20947,20479,20479,27423,94663
1784789080.9,1878.6,82830,20925,20947,20479,20479,27427,94668
1784789081.9,1879.6,82830,20925,20947,20479,20479,27426,94671
1784789083.0,1880.7,82830,20925,20947,20479,20479,27390,94643
1784789084.1,1881.8,82830,20925,20947,20479,20479,27423,94535
1784789085.2,1882.9,82830,20925,20947,20479,20479,27371,94535
1784789086.3,1884.0,82830,20925,20947,20479,20479,27374,94535
1784789087.3,1885.0,82830,20925,20947,20479,20479,27374,94535
1784789088.4,1886.2,82830,20925,20947,20479,20479,27344,94535
1784789089.6,1887.3,82830,20925,20947,20479,20479,27375,94535
1784789090.6,1888.3,82830,20925,20947,20479,20479,27373,94535
1784789091.7,1889.4,82830,20925,20947,20479,20479,27401,94643
1784789092.8,1890.5,82830,20925,20947,20479,20479,27365,94647
1784789093.9,1891.6,82830,20925,20947,20479,20479,27403,94648
1784789094.9,1892.6,82830,20925,20947,20479,20479,27410,94681
1784789096.0,1893.7,82830,20925,20947,20479,20479,27398,94586
1784789097.1,1894.8,82830,20925,20947,20479,20479,27398,94587
1784789098.2,1895.9,82830,20925,20947,20479,20479,27362,94589
1784789099.3,1897.0,82830,20925,20947,20479,20479,27403,94591
1784789100.3,1898.0,82830,20925,20947,20479,20479,27404,94591
1784789101.4,1899.1,82830,20925,20947,20479,20479,27406,94591
1784789102.5,1900.2,82830,20925,20947,20479,20479,27380,94634
1784789103.6,1901.3,82830,20925,20947,20479,20479,27406,94450
1784789104.7,1902.4,82830,20925,20947,20479,20479,27409,94457
1784789105.7,1903.4,82830,20925,20947,20479,20479,27409,94473
1784789106.8,1904.5,82830,20925,20947,20479,20479,27409,94488
1784789107.9,1905.6,82830,20925,20947,20479,20479,27367,94528
1784789109.0,1906.7,82830,20925,20947,20479,20479,27407,94534
1784789110.1,1907.8,82830,20925,20947,20479,20479,27406,94596
1784789111.1,1908.8,82830,20925,20947,20479,20479,27409,94628
1784789112.2,1909.9,82830,20925,20947,20479,20479,27410,94629
1784789113.3,1911.0,82830,20925,20947,20479,20479,27372,94629
1784789114.3,1912.1,82830,20925,20947,20479,20479,27412,94630
1784789115.4,1913.1,82830,20925,20947,20479,20479,27412,94699
1784789116.5,1914.2,82830,20925,20947,20479,20479,27409,94590
1784789117.6,1915.3,82830,20925,20947,20479,20479,27409,94590
1784789118.6,1916.3,82830,20925,20947,20479,20479,27411,94590
1784789119.7,1917.4,82830,20925,20947,20479,20479,27411,94590
1784789120.7,1918.5,82830,20925,20947,20479,20479,27410,94600
1784789121.9,1919.6,82830,20925,20947,20479,20479,27411,94605
1784789122.9,1920.6,82830,20925,20947,20479,20479,27374,94607
1784789124.0,1921.7,82830,20925,20947,20479,20479,27408,94617
1784789125.1,1922.8,82830,20925,20947,20479,20479,27411,94622
1784789126.1,1923.8,82830,20925,20947,20479,20479,27398,94473
1784789127.2,1924.9,82830,20925,20947,20479,20479,27402,94473
1784789128.3,1926.0,82830,20925,20947,20479,20479,27363,94479
1784789129.3,1927.0,82830,20925,20947,20479,20479,27402,94481
1784789130.4,1928.1,82830,20925,20947,20479,20479,27401,94485
1784789131.5,1929.2,82830,20925,20947,20479,20479,27402,94575
1784789132.6,1930.3,82830,20925,20947,20479,20479,27411,94667
1784789133.7,1931.4,82830,20925,20947,20479,20479,27406,94667
1784789134.7,1932.4,82830,20925,20947,20479,20479,27407,94667
1784789135.8,1933.5,82830,20925,20947,20479,20479,27410,94667
1784789136.9,1934.6,82830,20925,20947,20479,20479,27407,94667
1784789138.0,1935.7,82830,20925,20947,20479,20479,27373,94680
1784789139.0,1936.7,82830,20925,20947,20479,20479,27418,94681
1784789140.1,1937.8,82830,20925,20947,20479,20479,27417,94681
