t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784789830.9,136.8,82604,20823,20823,20479,20479,19650,20158
1784789832.0,137.9,82604,20823,20823,20479,20479,19650,20158
1784789833.1,138.9,82604,20823,20823,20479,20479,19650,20158
1784789834.1,140.0,82604,20823,20823,20479,20479,19649,20158
1784789835.2,141.1,82604,20823,20823,20479,20479,19651,20158
1784789836.2,142.1,82604,20823,20823,20479,20479,19651,20158
1784789837.3,143.2,82604,20823,20823,20479,20479,19651,20158
1784789838.4,144.2,82604,20823,20823,20479,20479,19651,20158
1784789839.5,145.3,82604,20823,20823,20479,20479,19644,20158
1784789840.5,146.4,82604,20823,20823,20479,20479,19642,20158
1784789841.6,147.5,82604,20823,20823,20479,20479,19642,20158
1784789842.6,148.5,82604,20823,20823,20479,20479,19643,20158
1784789843.7,149.6,82604,20823,20823,20479,20479,19642,20158
1784789844.8,150.6,82604,20823,20823,20479,20479,19642,20158
1784789845.9,151.7,82604,20823,20823,20479,20479,19642,20158
1784789846.9,152.8,82604,20823,20823,20479,20479,19646,20158
1784789848.0,153.9,82604,20823,20823,20479,20479,19648,20158
1784789849.1,154.9,82604,20823,20823,20479,20479,19646,20158
1784789850.2,156.0,82604,20823,20823,20479,20479,19647,20158
1784789851.2,157.1,82604,20823,20823,20479,20479,19648,20158
1784789852.3,158.1,82604,20823,20823,20479,20479,19647,20158
1784789853.3,159.2,82604,20823,20823,20479,20479,19646,20158
1784789854.4,160.3,82604,20823,20823,20479,20479,19645,20158
1784789855.5,161.3,82604,20823,20823,20479,20479,19644,20158
1784789856.5,162.4,82604,20823,20823,20479,20479,19644,20158
1784789857.6,163.5,82604,20823,20823,20479,20479,19644,20158
1784789858.6,164.5,82604,20823,20823,20479,20479,19649,20159
1784789859.7,165.6,82604,20823,20823,20479,20479,19650,20159
1784789860.8,166.7,82604,20823,20823,20479,20479,19651,20159
1784789861.9,167.7,82604,20823,20823,20479,20479,19651,20159
1784789862.9,168.8,82604,20823,20823,20479,20479,19648,20159
1784789864.0,169.9,82604,20823,20823,20479,20479,19649,20159
1784789865.1,170.9,82604,20823,20823,20479,20479,19652,20159
1784789866.1,172.0,82604,20823,20823,20479,20479,19653,20159
1784789867.2,173.1,82604,20823,20823,20479,20479,19651,20159
1784789868.3,174.1,82604,20823,20823,20479,20479,19652,20159
1784789869.3,175.2,82604,20823,20823,20479,20479,19656,20159
1784789870.4,176.3,82604,20823,20823,20479,20479,19659,20159
1784789871.5,177.3,82604,20823,20823,20479,20479,19659,20159
1784789872.5,178.4,82604,20823,20823,20479,20479,19659,20159
1784789873.6,179.5,82604,20823,20823,20479,20479,19660,20159
1784789874.7,180.6,82604,20823,20823,20479,20479,19661,20159
1784789875.7,181.6,82604,20823,20823,20479,20479,19659,20159
1784789876.8,182.7,82604,20823,20823,20479,20479,19663,20159
1784789877.9,183.8,82604,20823,20823,20479,20479,19663,20159
1784789878.9,184.8,82604,20823,20823,20479,20479,19664,20159
1784789880.0,185.9,82604,20823,20823,20479,20479,19666,20159
1784789881.1,187.0,82604,20823,20823,20479,20479,19660,20159
1784789882.2,188.1,82604,20823,20823,20479,20479,19660,20159
1784789883.2,189.1,82604,20823,20823,20479,20479,19659,20159
1784789884.3,190.2,82604,20823,20823,20479,20479,19660,20159
1784789885.4,191.3,82604,20823,20823,20479,20479,19660,20159
1784789886.5,192.3,82604,20823,20823,20479,20479,19661,20159
1784789887.5,193.4,82604,20823,20823,20479,20479,19662,20159
1784789888.6,194.5,82604,20823,20823,20479,20479,19661,20159
1784789889.7,195.6,82604,20823,20823,20479,20479,19663,20159
1784789890.8,196.6,82604,20823,20823,20479,20479,19661,20159
1784789891.8,197.7,82604,20823,20823,20479,20479,19661,20159
1784789892.9,198.8,82604,20823,20823,20479,20479,19657,20159
1784789894.0,199.9,82604,20823,20823,20479,20479,19656,20159
1784789895.1,200.9,82604,20823,20823,20479,20479,19656,20159
1784789896.1,202.0,82604,20823,20823,20479,20479,19656,20159
1784789897.2,203.1,82604,20823,20823,20479,20479,19656,20159
1784789898.3,204.1,82604,20823,20823,20479,20479,19660,20159
1784789899.3,205.2,82604,20823,20823,20479,20479,19659,20159
1784789900.4,206.3,82604,20823,20823,20479,20479,19659,20159
1784789901.4,207.3,82604,20823,20823,20479,20479,19659,20159
1784789902.5,208.4,82604,20823,20823,20479,20479,19660,20159
1784789903.6,209.5,82604,20823,20823,20479,20479,19658,20159
1784789904.7,210.6,82604,20823,20823,20479,20479,19659,20159
1784789905.8,211.6,82604,20823,20823,20479,20479,19657,20159
1784789906.8,212.7,82604,20823,20823,20479,20479,19657,20159
1784789907.9,213.7,82604,20823,20823,20479,20479,19658,20159
1784789909.0,214.8,82604,20823,20823,20479,20479,19658,20159
