elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
71.1,75582.0,31894.0,43688.0,26849.5,23476.5,12874.3,12008.3,0.0,151722.3,0.0,33324.7,166537.5,517423.1,683960.6,507948.6,1031900.8,178571.8,42
72.1,75582.0,31894.0,43688.0,26345.5,22972.5,12370.3,11504.3,0.0,151722.3,0.0,33379.5,166537.7,517481.3,684019.0,507890.4,1031900.8,178067.8,42
73.1,75582.0,31894.0,43688.0,26103.5,22730.5,12128.3,11262.3,0.0,151722.3,0.0,33435.0,166537.6,517559.9,684097.5,507811.8,1031900.8,177825.8,42
74.1,75582.0,31894.0,43688.0,25853.5,22480.5,11878.3,11012.3,0.0,151722.3,0.0,33342.2,166537.9,517452.5,683990.4,507919.2,1031900.8,177575.8,42
75.1,75582.0,31894.0,43688.0,25601.6,22228.5,11626.3,10760.3,0.0,151722.3,0.0,33342.2,166537.8,517453.7,683991.5,507918.0,1031900.8,177323.8,42
76.1,75582.0,31894.0,43688.0,25353.6,21980.5,11378.3,10512.3,0.0,151722.3,0.0,33288.4,166537.8,517420.4,683958.3,507951.3,1031900.8,177075.9,42
77.1,75582.0,31894.0,43688.0,25101.6,21728.6,11126.4,10260.4,0.0,151722.3,0.0,33288.4,166538.1,517404.5,683942.6,507967.3,1031900.8,176823.9,42
78.1,75582.0,31894.0,43688.0,24999.6,21626.6,11024.4,10158.4,0.0,151722.3,0.0,33295.7,166538.1,517427.3,683965.5,507944.4,1031900.8,176721.9,42
79.1,75582.0,31894.0,43688.0,25001.7,21628.6,11026.4,10160.4,0.0,151722.3,0.0,33331.3,166538.3,517450.4,683988.7,507921.3,1031900.8,176724.0,42
80.1,75582.0,31894.0,43688.0,25003.7,21630.7,11028.4,10162.4,0.0,151722.3,0.0,33410.1,166538.2,517524.4,684062.5,507847.4,1031900.8,176726.0,42
