t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
105.52,0.3678,38620,0,105000,0.3678,0.0000,0.1918,38753,1,202000,0.1918,0.0000
106.02,0.3678,38620,0,105000,0.3678,0.0000,0.1918,38753,1,202000,0.1918,0.0000
106.52,0.3677,38609,0,105000,0.3677,0.0000,0.2547,51454,1,202000,0.2547,0.0000
107.02,0.3677,38609,0,105000,0.3677,0.0000,0.2547,51454,1,202000,0.2547,0.0000
107.52,0.3670,38537,0,105000,0.3670,0.0000,0.2547,51454,1,202000,0.2547,0.0000
108.02,0.3670,38537,0,105000,0.3670,0.0000,0.2547,51454,1,202000,0.2547,0.0000
108.52,0.3658,38408,0,105000,0.3658,0.0000,0.2547,51454,1,202000,0.2547,0.0000
109.02,0.3658,38408,0,105000,0.3658,0.0000,0.2217,44789,1,202000,0.2217,0.0000
109.52,0.3658,38414,0,105000,0.3658,0.0000,0.2217,44789,1,202000,0.2217,0.0000
110.02,0.3658,38414,0,105000,0.3658,0.0000,0.2217,44789,1,202000,0.2217,0.0000
110.52,0.3046,31986,0,105000,0.3046,0.0000,0.1905,38489,1,202000,0.1905,0.0000
111.02,0.3046,31986,0,105000,0.3046,0.0000,0.1905,38489,1,202000,0.1905,0.0000
111.52,0.3046,31986,0,105000,0.3046,0.0000,0.1905,38489,1,202000,0.1905,0.0000
112.02,0.3044,31961,0,105000,0.3044,0.0000,0.1905,38489,1,202000,0.1905,0.0000
112.52,0.3044,31961,0,105000,0.3044,0.0000,0.1905,38489,1,202000,0.1905,0.0000
113.02,0.2435,25568,0,105000,0.2435,0.0000,0.1581,31937,1,202000,0.1581,0.0000
113.52,0.2435,25568,0,105000,0.2435,0.0000,0.1581,31937,1,202000,0.1581,0.0000
114.02,0.2435,25568,0,105000,0.2435,0.0000,0.1581,31937,1,202000,0.1581,0.0000
114.52,0.2438,25599,0,105000,0.2438,0.0000,0.1586,32034,1,202000,0.1586,0.0000
115.02,0.2438,25599,0,105000,0.2438,0.0000,0.1586,32034,1,202000,0.1586,0.0000
115.52,0.1831,19227,0,105000,0.1831,0.0000,0.1586,32034,1,202000,0.1586,0.0000
116.02,0.1838,19294,0,105000,0.1838,0.0000,0.1586,32034,1,202000,0.1586,0.0000
116.52,0.1838,19294,0,105000,0.1838,0.0000,0.1272,25697,1,202000,0.1272,0.0000
117.02,0.1837,19285,0,105000,0.1837,0.0000,0.1272,25697,1,202000,0.1272,0.0000
117.52,0.1219,12804,0,105000,0.1219,0.0000,0.0955,19288,1,202000,0.0955,0.0000
118.02,0.1219,12804,0,105000,0.1219,0.0000,0.0955,19288,1,202000,0.0955,0.0000
118.52,0.1226,12875,0,105000,0.1226,0.0000,0.0955,19288,1,202000,0.0955,0.0000
119.02,0.1225,12862,0,105000,0.1225,0.0000,0.0955,19288,1,202000,0.0955,0.0000
119.52,0.1222,12833,0,105000,0.1222,0.0000,0.0956,19307,1,202000,0.0956,0.0000
120.02,0.1222,12833,0,105000,0.1222,0.0000,0.0956,19307,1,202000,0.0956,0.0000
120.52,0.1227,12879,0,105000,0.1227,0.0000,0.0956,19307,1,202000,0.0956,0.0000
121.02,0.1841,19335,0,105000,0.1841,0.0000,0.1280,25854,1,202000,0.1280,0.0000
121.52,0.1848,19401,0,105000,0.1848,0.0000,0.1280,25854,1,202000,0.1280,0.0000
122.02,0.1847,19392,0,105000,0.1847,0.0000,0.1280,25854,1,202000,0.1280,0.0000
122.52,0.2461,25836,0,105000,0.2461,0.0000,0.1280,25854,1,202000,0.1280,0.0000
123.02,0.2461,25836,0,105000,0.2461,0.0000,0.1280,25854,1,202000,0.1280,0.0000
123.52,0.2465,25882,0,105000,0.2465,0.0000,0.1600,32320,1,202000,0.1600,0.0000
124.02,0.2458,25809,0,105000,0.2458,0.0000,0.1600,32320,1,202000,0.1600,0.0000
124.52,0.2453,25752,0,105000,0.2453,0.0000,0.1600,32320,1,202000,0.1600,0.0000
125.02,0.3069,32225,0,105000,0.3069,0.0000,0.1600,32320,1,202000,0.1600,0.0000
125.52,0.3069,32225,0,105000,0.3069,0.0000,0.1917,38716,1,202000,0.1917,0.0000
126.02,0.2453,25755,0,105000,0.2453,0.0000,0.1917,38716,1,202000,0.1917,0.0000
126.52,0.3071,32246,0,105000,0.3071,0.0000,0.1917,38716,1,202000,0.1917,0.0000
127.02,0.3071,32246,0,105000,0.3071,0.0000,0.1917,38716,1,202000,0.1917,0.0000
127.52,0.3066,32195,0,105000,0.3066,0.0000,0.1914,38669,1,202000,0.1914,0.0000
