elapsed_s,prefill30000_max_total_num_tokens,prefill30000_num_used_tokens,prefill30000_evictable_tokens,prefill30000_token_usage,prefill30000_cache_occupancy,prefill30000_cache_hit_rate,prefill30000_occupancy_frac,prefill30001_max_total_num_tokens,prefill30001_num_used_tokens,prefill30001_evictable_tokens,prefill30001_token_usage,prefill30001_cache_occupancy,prefill30001_cache_hit_rate,prefill30001_occupancy_frac,decode30002_max_total_num_tokens,decode30002_num_used_tokens,decode30002_evictable_tokens,decode30002_token_usage,decode30002_cache_occupancy,decode30002_cache_hit_rate,decode30002_occupancy_frac,decode30003_max_total_num_tokens,decode30003_num_used_tokens,decode30003_evictable_tokens,decode30003_token_usage,decode30003_cache_occupancy,decode30003_cache_hit_rate,decode30003_occupancy_frac,prefill_used_tokens,prefill_max_tokens,prefill_occupancy_frac,decode_used_tokens,decode_max_tokens,decode_occupancy_frac
88.0,60000.0,33692.0,24576.0,0.5615333333333333,0.9711333333333333,0.0,0.9711,60000.0,24368.0,30592.0,0.40613333333333335,0.916,0.0,0.916,209036.0,59495.0,0.0,0.2846160469966896,0.2846160469966896,0.0,0.2846,209036.0,77970.0,0.0,0.3729979525057885,0.3729979525057885,0.0,0.373,113228,120000,0.9436,137465,418072,0.3288
90.0,60000.0,5022.0,51506.0,0.0837,0.9421333333333334,0.0,0.9421,60000.0,24368.0,30592.0,0.40613333333333335,0.916,0.0,0.916,209036.0,59495.0,0.0,0.2846160469966896,0.2846160469966896,0.0,0.2846,209036.0,78050.0,0.0,0.3733806617042041,0.3733806617042041,0.0,0.3734,111488,120000,0.9291,137545,418072,0.329
92.0,60000.0,17310.0,40758.0,0.2885,0.9678,0.0,0.9678,60000.0,24368.0,30592.0,0.40613333333333335,0.916,0.0,0.916,209036.0,59495.0,0.0,0.2846160469966896,0.2846160469966896,0.0,0.2846,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,113028,120000,0.9419,95578,418072,0.2286
94.0,60000.0,25502.0,32566.0,0.4250333333333333,0.9678,0.0,0.9678,60000.0,41749.0,0.0,0.6958166666666666,0.6958166666666666,0.9158495119008446,0.6958,209036.0,59495.0,0.0,0.2846160469966896,0.2846160469966896,0.0,0.2846,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,99817,120000,0.8318,95578,418072,0.2286
96.0,60000.0,29598.0,28470.0,0.4933,0.9678,0.0,0.9678,60000.0,41749.0,0.0,0.6958166666666666,0.6958166666666666,0.9158495119008446,0.6958,209036.0,59495.0,0.0,0.2846160469966896,0.2846160469966896,0.0,0.2846,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,99817,120000,0.8318,95578,418072,0.2286
98.0,60000.0,25300.0,32571.0,0.4216666666666667,0.9645166666666667,0.9040880503144654,0.9645,60000.0,41749.0,0.0,0.6958166666666666,0.6958166666666666,0.9158495119008446,0.6958,209036.0,59495.0,0.0,0.2846160469966896,0.2846160469966896,0.0,0.2846,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,99620,120000,0.8302,95578,418072,0.2286
100.0,60000.0,25300.0,32571.0,0.4216666666666667,0.9645166666666667,0.9040880503144654,0.9645,60000.0,9116.0,44661.0,0.15193333333333334,0.8962833333333333,0.0,0.8963,209036.0,59495.0,0.0,0.2846160469966896,0.2846160469966896,0.0,0.2846,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,111648,120000,0.9304,95578,418072,0.2286
102.0,60000.0,33495.0,0.0,0.55825,0.55825,0.946988973706531,0.5583,60000.0,17308.0,0.0,0.28846666666666665,0.28846666666666665,0.0,0.2885,209036.0,28040.0,0.0,0.13413957404466217,0.13413957404466217,0.0,0.1341,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,50803,120000,0.4234,64123,418072,0.1534
104.0,60000.0,5020.0,34446.0,0.08366666666666667,0.6577666666666667,0.0,0.6578,60000.0,25500.0,0.0,0.425,0.425,0.0,0.425,209036.0,28120.0,0.0,0.13452228324307774,0.13452228324307774,0.0,0.1345,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,64966,120000,0.5414,64203,418072,0.1536
106.0,60000.0,17308.0,34446.0,0.28846666666666665,0.8625666666666667,0.0,0.8626,60000.0,33692.0,0.0,0.5615333333333333,0.5615333333333333,0.0,0.5615,209036.0,0.0,0.0,0.0,0.0,0.0,0.0,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,85446,120000,0.712,36083,418072,0.0863
108.0,60000.0,25500.0,34446.0,0.425,0.9991,0.0,0.9991,60000.0,33692.0,0.0,0.5615333333333333,0.5615333333333333,0.0,0.5615,209036.0,0.0,0.0,0.0,0.0,0.0,0.0,209036.0,36083.0,0.0,0.17261620008036893,0.17261620008036893,0.0,0.1726,93638,120000,0.7803,36083,418072,0.0863
110.0,60000.0,33692.0,0.0,0.5615333333333333,0.5615333333333333,0.0,0.5615,60000.0,33692.0,0.0,0.5615333333333333,0.5615333333333333,0.0,0.5615,209036.0,0.0,0.0,0.0,0.0,0.0,0.0,209036.0,83962.0,0.0,0.4016628714671157,0.4016628714671157,0.0,0.4017,67384,120000,0.5615,83962,418072,0.2008
112.0,60000.0,41884.0,0.0,0.6980666666666666,0.6980666666666666,0.0,0.6981,60000.0,33692.0,0.0,0.5615333333333333,0.5615333333333333,0.0,0.5615,209036.0,0.0,0.0,0.0,0.0,0.0,0.0,209036.0,84042.0,0.0,0.4020455806655313,0.4020455806655313,0.0,0.402,75576,120000,0.6298,84042,418072,0.201
114.0,60000.0,45980.0,0.0,0.7663333333333333,0.7663333333333333,0.0,0.7663,60000.0,33692.0,0.0,0.5615333333333333,0.5615333333333333,0.0,0.5615,209036.0,0.0,0.0,0.0,0.0,0.0,0.0,209036.0,84122.0,0.0,0.40242828986394685,0.40242828986394685,0.0,0.4024,79672,120000,0.6639,84122,418072,0.2012
