elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,n_pids
178.4,0.0,129683.3,119108.8,77328.1,76202.6,0.0,24950.9,1395.7,86156.8,26816.9,88479.1,117238.3,37012.3,128652.3,148
180.2,0.0,129687.7,119113.2,77332.4,76207.0,0.0,24809.5,1395.7,86316.3,26687.4,88788.2,117407.1,36713.9,128652.3,148
181.8,0.0,129692.9,119118.4,77337.7,76212.2,0.0,24753.7,1395.7,86623.1,26617.9,88944.4,117489.5,36562.1,128652.3,148
183.7,0.0,129704.5,119130.0,77349.2,76223.8,0.0,24623.0,1395.7,87316.0,26489.0,89646.0,118052.4,35870.3,128652.3,148
185.7,0.0,129711.8,119137.3,77356.4,76231.1,0.0,24291.1,1395.7,86721.9,26156.7,88971.9,117021.2,36569.1,128652.3,148
187.8,0.0,129714.9,119140.4,77359.6,76234.2,0.0,24009.0,1410.7,84914.4,25867.2,87473.3,115208.3,38092.6,128652.3,148
189.5,0.0,129719.4,119144.9,77364.0,76238.7,0.0,23974.4,1410.7,85120.5,25830.1,87602.5,115297.6,37966.1,128652.3,148
191.1,0.0,129719.6,119145.1,77364.2,76238.9,0.0,23895.8,1410.7,85547.0,25751.4,87979.8,115589.6,37595.4,128652.3,148
192.8,0.0,129719.6,119145.1,77364.2,76238.9,0.0,23687.5,1410.7,84942.3,25541.2,87275.0,114659.8,38315.1,128652.3,148
194.6,0.0,129718.6,119144.1,77363.2,76237.9,0.0,23611.5,1410.7,85313.1,25462.7,87870.2,115170.0,37726.2,128652.3,148
196.4,0.0,129718.6,119144.1,77363.2,76237.9,0.0,23567.4,1410.7,85530.0,25427.7,88071.7,115332.3,37529.0,128652.3,148
198.5,0.0,129718.6,119144.1,77363.2,76237.9,0.0,23403.4,1422.7,86351.4,25255.3,89078.9,116147.7,36541.2,128652.3,148
200.3,0.0,129718.6,119144.1,77363.2,76237.9,0.0,23251.8,1422.7,87093.8,25110.9,89647.7,116560.0,35984.5,128652.3,148
202.4,0.0,129721.2,119146.7,77365.7,76240.5,0.0,22984.7,1422.7,87475.9,24836.6,89987.5,116605.2,35665.0,128652.3,148
204.1,0.0,129721.1,119146.7,77365.7,76240.5,0.0,22788.0,1422.7,88459.3,24638.8,90910.6,117315.2,34757.2,128652.3,148
206.1,0.0,129721.3,119146.8,77365.9,76240.6,0.0,22568.3,1422.7,87926.5,24419.6,90457.2,116625.8,35227.4,128652.3,148
208.2,0.0,129721.3,119146.8,77365.9,76240.6,0.0,22409.7,1422.7,88781.0,24259.3,91377.1,117373.5,34319.4,128652.3,148
210.1,0.0,129721.3,119146.8,77365.9,76240.6,0.0,22158.0,1437.7,88212.5,24010.1,90751.3,116478.6,34965.1,128652.3,148
212.0,0.0,129721.3,119146.8,77365.9,76240.6,0.0,21926.7,1437.7,88572.8,23774.8,91126.0,116601.6,34606.8,128652.3,148
213.9,0.0,129721.3,119146.8,77365.8,76240.6,0.0,21844.1,1437.7,89016.6,23691.6,91862.1,117248.4,33876.7,128652.3,148
216.3,0.0,129721.3,119146.8,77365.8,76240.6,0.0,21411.7,1437.7,87544.4,23263.0,90290.1,115214.9,35481.7,128652.3,148
218.3,0.0,129721.3,119146.8,77365.8,76240.6,0.0,21281.2,1437.7,88259.6,23128.8,90939.0,115717.2,34845.3,128652.3,148
220.1,0.0,129721.3,119146.8,77365.8,76240.6,0.0,21228.1,1437.7,88570.7,23082.2,91281.7,116011.9,34503.8,128652.3,148
222.0,0.0,129721.3,119146.8,77365.8,76240.6,0.0,21110.5,1447.7,89171.3,22957.2,91813.6,116410.5,33980.3,128652.3,148
224.0,0.0,129721.3,119146.8,77365.8,76240.6,0.0,20930.9,1447.7,90155.0,22775.6,92708.6,117110.2,33098.9,128652.3,148
226.3,0.0,129721.3,119146.8,77365.8,76240.6,0.0,20569.9,1447.7,88307.6,22420.7,90971.5,114990.5,34863.8,128652.3,148
228.5,0.0,129722.9,119148.4,77367.3,76242.2,0.0,20477.2,1447.7,88716.4,22322.8,91566.0,115481.1,34275.3,128652.3,148
230.4,0.0,129722.9,119148.4,77367.3,76242.2,0.0,20394.1,1447.7,89148.0,22247.6,91918.8,115745.6,33935.5,128652.3,148
232.4,0.0,129722.9,119148.4,77367.3,76242.2,0.0,20124.8,1459.7,88478.7,21966.9,91242.9,114769.2,34631.3,128652.3,148
234.5,0.0,129722.9,119148.4,77367.3,76242.2,0.0,19864.5,1459.7,88742.2,21704.4,91515.4,114759.3,34378.8,128652.3,148
236.5,0.0,129722.9,119148.4,77367.3,76242.2,0.0,19635.7,1459.7,88890.9,21478.7,91908.2,114908.3,34004.0,128652.3,148
