elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
209.3,175688.0,124676.4,119077.6,0.0,40442.4,111155.4,77994.3,43468.3,81804.7,125713.4,45164.6,148
210.8,175688.0,124676.4,119077.6,0.0,40453.3,111155.4,77994.4,43479.7,81802.4,125722.6,45166.7,148
212.3,175688.0,124684.8,119085.9,0.0,40486.4,111155.4,77964.2,43514.8,81778.3,125733.7,45190.7,148
213.8,175688.0,124704.7,119105.8,0.0,40488.8,111317.7,78003.3,43517.4,81813.5,125771.6,45155.4,148
217.8,175688.0,124637.4,119038.5,0.0,40527.8,111317.7,77956.2,43559.8,81772.2,125772.8,45188.6,148
219.2,175688.0,124637.4,119038.5,0.0,40527.8,111317.7,77955.6,43559.9,81767.6,125768.4,45193.1,148
220.6,175688.0,124637.4,119038.5,0.0,40528.2,111317.7,77955.4,43560.3,81766.7,125767.8,45194.0,148
222.1,175688.0,124644.9,119046.0,0.0,40535.7,111317.7,77963.3,43567.8,81772.1,125780.8,45188.6,148
223.6,175688.0,124644.9,119046.0,0.0,40536.1,111317.7,77963.3,43568.2,81771.3,125780.3,45189.4,148
225.0,175688.0,124644.9,119046.0,0.0,40536.1,111336.6,77923.8,43568.2,81730.3,125739.4,45230.4,148
228.8,175688.0,124645.2,119046.3,0.0,40588.0,111336.6,77963.7,43622.1,81784.2,125847.4,45176.3,148
230.3,175688.0,124645.2,119046.3,0.0,40589.1,111336.6,77968.5,43623.2,81780.6,125844.8,45180.0,148
231.7,175688.0,124645.2,119046.3,0.0,40589.4,111336.6,77963.6,43623.2,81776.8,125841.0,45183.8,148
233.2,175688.0,124645.2,119046.3,0.0,40589.7,111336.6,77964.2,43623.5,81771.6,125836.1,45188.9,148
234.6,175688.0,124645.2,119046.3,0.0,40589.8,111336.6,77969.8,43623.7,81775.7,125840.4,45184.8,148
